record_id,event_rank,epoch_index,onset_seconds,event_tokens,mapped_stage,window_start_seconds,window_stop_seconds,channel_name,is_respiration_channel,is_spo2_channel,finite_fraction_pct,min_value,mean_value,max_value,std_value
slp01a,1,12,360.0,HA,N3,330.0,420.0,Resp (sum),True,False,100.0,-2.2072463768115944,0.042345120772946866,1.5492753623188407,0.5607988686965506
slp01a,2,13,390.0,H LA,N3,360.0,450.0,Resp (sum),True,False,100.0,-1.0391304347826087,0.037425958132045085,0.591304347826087,0.37292878136150515
slp01a,3,36,1080.0,LA HA LA,N3,1050.0,1140.0,Resp (sum),True,False,100.0,-1.5014492753623188,0.0463717230273752,0.7884057971014493,0.4301972684887438
slp01a,4,46,1380.0,H,N2,1350.0,1440.0,Resp (sum),True,False,100.0,-1.0130434782608695,0.04013964573268921,0.6202898550724638,0.39399559500151166
slp01a,5,49,1470.0,H,N2,1440.0,1530.0,Resp (sum),True,False,100.0,-0.9173913043478261,0.03431890499194847,0.5739130434782609,0.3781593644250097
slp02a,1,8,240.0,X,N2,210.0,300.0,Resp (nasal),True,False,100.0,-2.193548387096774,-0.30120501792114696,7.145161290322581,0.7314521421251516
slp02a,2,9,270.0,X,N2,240.0,330.0,Resp (nasal),True,False,100.0,-1.7419354838709677,-0.37926594982078854,2.193548387096774,0.5079287214169539
slp02a,3,10,300.0,X X,N2,270.0,360.0,Resp (nasal),True,False,100.0,-1.7419354838709677,-0.3445383512544803,2.193548387096774,0.5256429109667181
slp02a,4,11,330.0,X,N2,300.0,390.0,Resp (nasal),True,False,100.0,-1.7419354838709677,-0.34598458781362,1.8387096774193548,0.46227026806152594
slp02a,5,13,390.0,X,N2,360.0,450.0,Resp (nasal),True,False,100.0,-1.814516129032258,-0.3526566308243727,1.3629032258064515,0.44581499948522396
slp03,1,0,0.004,HA,N2,0.0,60.004,Resp (nasal),True,False,100.0,-0.6769596199524941,-0.029319660557863045,0.47980997624703087,0.22260081015702296
slp03,2,1,30.0,HA,N2,0.0,90.0,Resp (nasal),True,False,100.0,-0.7980997624703088,-0.023965056743204014,0.6270783847980997,0.238515147453866
slp03,3,2,60.0,HA,N2,30.0,120.0,Resp (nasal),True,False,100.0,-0.7980997624703088,-0.024955291633676435,0.6270783847980997,0.25578415364285845
slp03,4,3,90.0,HA HA,N2,60.0,150.0,Resp (nasal),True,False,100.0,-0.8764845605700713,-0.01999641066244391,0.6745843230403801,0.28740906342404043
slp03,5,4,120.0,HA,N2,90.0,180.0,Resp (nasal),True,False,100.0,-0.8764845605700713,-0.025082818685669042,0.6745843230403801,0.2836067379673997
slp59,1,36,1740.0,HA X,N1,1710.0,1800.0,Resp (nasal),True,False,100.0,-0.3794734805457428,0.17882685921432162,0.40651928782148106,0.14818469224668454
slp59,1,36,1740.0,HA X,N1,1710.0,1800.0,Resp (abdominal),True,False,100.0,-0.2126589008193064,0.14995874459518332,0.5278497716764927,0.13639159222416325
slp59,1,36,1740.0,HA X,N1,1710.0,1800.0,SO2,False,True,47.21333333333334,47.470588235294116,95.5481613147942,98.47058823529412,2.3579912925426143
slp59,2,38,1800.0,X,N1,1770.0,1860.0,Resp (nasal),True,False,100.0,-0.5729550249029471,0.1824298600506612,0.49764285387358376,0.15155093805005126
