record_id,reference_stage,yasa_stage,pair_type,epoch_count,pct_record_epochs
SC4001,N1,N1,agreement,18,0.6792452830188679
SC4001,N1,N2,discrepancy,22,0.8301886792452831
SC4001,N1,N3,discrepancy,2,0.07547169811320754
SC4001,N1,WAKE,discrepancy,16,0.6037735849056604
SC4001,N2,N1,discrepancy,12,0.4528301886792453
SC4001,N2,N2,agreement,196,7.39622641509434
SC4001,N2,N3,discrepancy,33,1.2452830188679245
SC4001,N2,REM,discrepancy,1,0.03773584905660377
SC4001,N2,WAKE,discrepancy,8,0.3018867924528302
SC4001,N3,N1,discrepancy,1,0.03773584905660377
SC4001,N3,N2,discrepancy,12,0.4528301886792453
SC4001,N3,N3,agreement,154,5.811320754716981
SC4001,N3,REM,discrepancy,2,0.07547169811320754
SC4001,N3,WAKE,discrepancy,51,1.9245283018867922
SC4001,REM,N1,discrepancy,26,0.9811320754716981
SC4001,REM,N2,discrepancy,13,0.49056603773584906
SC4001,REM,N3,discrepancy,7,0.2641509433962264
SC4001,REM,REM,agreement,29,1.0943396226415094
SC4001,REM,WAKE,discrepancy,50,1.8867924528301887
SC4001,WAKE,N1,discrepancy,33,1.2452830188679245
SC4001,WAKE,N2,discrepancy,111,4.188679245283019
SC4001,WAKE,N3,discrepancy,2,0.07547169811320754
SC4001,WAKE,REM,discrepancy,188,7.09433962264151
SC4001,WAKE,WAKE,agreement,1663,62.75471698113208
SC4011,N1,N1,agreement,58,2.0699500356887937
SC4011,N1,N2,discrepancy,12,0.4282655246252677
SC4011,N1,N3,discrepancy,1,0.03568879371877231
SC4011,N1,REM,discrepancy,19,0.6780870806566739
SC4011,N1,WAKE,discrepancy,19,0.6780870806566739
SC4011,N2,N1,discrepancy,34,1.2134189864382585
SC4011,N2,N2,agreement,468,16.70235546038544
SC4011,N2,N3,discrepancy,32,1.1420413990007139
SC4011,N2,REM,discrepancy,20,0.7137758743754461
SC4011,N2,WAKE,discrepancy,8,0.28551034975017847
SC4011,N3,N2,discrepancy,1,0.03568879371877231
SC4011,N3,N3,agreement,103,3.675945753033547
SC4011,N3,WAKE,discrepancy,1,0.03568879371877231
SC4011,REM,N1,discrepancy,17,0.6067094932191293
SC4011,REM,N2,discrepancy,1,0.03568879371877231
SC4011,REM,N3,discrepancy,22,0.7851534618129907
SC4011,REM,REM,agreement,123,4.389721627408994
SC4011,REM,WAKE,discrepancy,7,0.24982155603140616
SC4011,WAKE,N1,discrepancy,9,0.32119914346895073
SC4011,WAKE,N2,discrepancy,183,6.5310492505353315
SC4011,WAKE,N3,discrepancy,38,1.3561741613133478
SC4011,WAKE,REM,discrepancy,381,13.597430406852249
SC4011,WAKE,WAKE,agreement,1245,44.432548179871524
